interviewed,hired,appdate,age,sex,residence,GPA.u,GPA.g,MA,substitute,teaching,experience,workkids,volunteer,agegroup
no,no,6/24/04,NA,Female,2,3.35,N/A,no,no,yes,0,no,no,NA
no,no,7/5/03,NA,Female,2,3.31,N/A,no,yes,yes,4,yes,no,NA
no,no,4/30/03,25,Male,2,3.89,N/A,no,yes,yes,4,no,no,younger
no,no,5/10/04,23,Female,2,3.68,3.94,yes,no,yes,7,yes,no,younger
no,no,4/23/04,28,Female,2,3.29,3.73,yes,yes,yes,11,yes,no,younger
no,no,4/23/03,28,Female,2,2.68,3.76,yes,no,no,9,no,no,younger
no,no,6/27/03,22,Female,2,3.76,N/A,no,no,yes,4,yes,no,younger
no,no,5/27/04,29,Male,2,3.52,N/A,no,no,yes,7,yes,no,younger
no,no,2/18/04,24,Female,2,3.4,N/A,no,no,yes,9,yes,no,younger
no,no,4/25/03,23,Female,2,3.81,4.04,yes,no,yes,2,yes,no,younger
no,no,5/23/03,25,Male,2,2.98,3.53,yes,no,yes,3,no,no,younger
no,no,8/11/04,30,Female,2,N/A,N/A,yes,no,yes,8,yes,no,younger
no,no,8/29/03,24,Female,2,2.92,N/A,no,no,yes,5,yes,no,younger
